D:\data\MAPPING\JULY20A-GARTNET.b\MAPPING.d
Intensity Vs Time,CPS
Acquired      : 2016/7/20 14:58:22 using Batch JULY20A-GARTNET.b
Time [Sec],Li7,B11,Na23,Mg25,Al27,Si29,P31,K39,Ca42,Sc45,Ti49,V51,Cr53,Mn55,Fe57,Co59,Ni60,Cu63,Zn66,Ga71,Rb85,Sr88,Y89,Zr90,Sn118,Ba137,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf178,Ta181,W182,Au197,Pb208,Th232,U238
12.9633,200.00,200.00,77196.66,0.00,300.00,79006.83,18511.39,60421.88,5100.87,200.00,0.00,100.00,500.01,11004.09,100.00,0.00,200.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
13.5223,100.00,200.00,84636.33,0.00,1400.07,77398.50,22016.11,60020.27,4800.77,300.00,0.00,0.00,300.00,11104.17,400.01,0.00,100.00,100.00,0.00,0.00,300.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
14.0814,100.00,500.01,86949.40,0.00,600.01,71067.40,19512.66,58815.50,6101.25,200.00,100.00,100.00,100.00,10403.66,400.01,0.00,400.01,100.00,0.00,0.00,100.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
14.6404,400.01,800.02,85139.14,0.00,600.01,75589.35,19112.14,56807.75,5601.05,100.00,0.00,0.00,200.00,11804.71,300.00,0.00,200.00,100.00,0.00,0.00,600.01,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.1995,200.00,700.02,83932.42,0.00,700.02,74483.86,19913.18,55904.36,6401.37,300.00,0.00,100.00,500.01,11404.40,100.00,0.00,200.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,200.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
15.7585,400.01,100.00,87150.56,0.00,300.00,78504.22,17710.43,61727.20,5601.05,300.00,0.00,0.00,100.00,11204.24,300.00,0.00,100.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.3176,800.02,100.00,80111.77,0.00,400.01,76996.45,18711.64,58514.32,6201.29,200.00,0.00,0.00,800.02,10603.80,400.01,0.00,400.01,0.00,0.00,0.00,500.01,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16.8766,100.00,200.00,87049.98,0.00,1200.05,78906.31,18411.27,61325.55,5801.13,100.00,0.00,200.00,500.01,10103.45,400.01,100.00,400.01,0.00,0.00,0.00,400.01,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
17.4357,400.01,400.01,85843.11,0.00,800.02,77499.02,17610.31,56305.86,6101.25,0.00,0.00,100.00,600.01,12705.46,400.01,0.00,300.00,100.00,0.00,0.00,200.00,0.00,0.00,0.00,700.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
17.9947,600.01,0.00,86647.68,0.00,400.01,76192.38,20614.13,59417.87,4600.71,300.00,100.00,0.00,400.01,11104.17,300.00,0.00,300.00,200.00,0.00,0.00,100.00,0.00,0.00,0.00,400.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
18.5537,400.01,600.01,87452.29,0.00,200.00,78102.13,21915.97,59217.08,5801.13,200.00,100.00,0.00,100.00,10303.59,600.01,0.00,300.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.1128,100.00,500.01,87049.98,0.00,400.01,79811.06,19312.40,62028.44,6101.25,200.00,0.00,0.00,900.03,9703.18,600.01,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
19.6719,400.01,400.01,83831.87,0.00,500.01,74182.37,21415.25,62229.28,4900.80,100.00,0.00,0.00,400.01,10703.87,300.00,0.00,0.00,0.00,0.00,0.00,300.00,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.2309,300.00,300.00,87754.03,0.00,700.02,82123.45,19813.05,61626.79,5200.91,100.00,0.00,0.00,1100.04,12104.95,400.01,0.00,100.00,100.00,0.00,100.00,0.00,0.00,0.00,0.00,700.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
20.7899,300.00,600.01,81720.34,0.00,1200.05,72976.50,23618.54,60723.10,6101.25,300.00,0.00,0.00,600.01,9202.86,0.00,0.00,300.00,0.00,0.00,0.00,800.02,0.00,0.00,0.00,500.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00
21.3490,600.01,200.00,89464.01,0.00,500.01,76996.45,19312.40,61626.79,5100.87,100.00,0.00,0.00,600.01,9202.86,400.01,0.00,500.01,100.00,0.00,400.01,2600.23,14907.68,43264.68,44969.92,70072.78,31234.81,305705.91,362440.48,531527.25,106102.87,107110.82,341865.82,133239.14,1039090.92,326116.94,1357559.38,415590.43,1518551.46,320610.72,1480369.34,370361.30,1390241.70,323603.52,2000.15,653890.33,1175440.33,1352598.14
